"USER_ID","MERCHANT_ID","AGE_RANGE","GENDER","TOTAL_CLICK","TOTAL_ADD_TO_CART","TOTAL_PURCHASE","TOTAL_ADD_TO_FAVOURITE","PROB"
2771,4995,7,0,12,0,1,0,0
75716,2422,7,0,3,0,1,0,0
75716,2889,7,0,1,0,1,0,0
91826,814,5,0,6,0,2,0,0
91826,991,5,0,2,0,1,0,0
97462,3868,2,1,1,0,1,0,0
97462,4982,2,1,1,0,1,0,0
104225,716,3,1,2,0,1,0,0
37352,2275,1,1,5,0,2,0,0
8669,1897,2,0,6,0,1,0,0
32629,2612,7,0,3,0,2,0,0
38564,2706,3,1,1,0,1,0,0
38564,2522,3,1,1,0,1,0,0
58447,4113,4,2,1,0,1,0,0
64861,3076,7,2,3,1,1,0,0
78138,646,3,0,2,0,1,0,0
8125,1245,3,0,0,0,1,0,0
69406,210,2,0,4,0,1,0,0
95364,4269,3,1,23,0,2,0,0
95364,3249,3,1,5,0,1,0,0
94008,4005,4,1,2,0,4,0,0
48755,3879,2,0,1,0,1,0,0
48755,501,2,0,1,0,1,0,0
22853,2914,7,0,1,0,1,0,0
22130,2842,1,0,0,0,1,0,0
49586,2459,4,0,1,0,1,0,0
69302,2495,5,0,1,0,1,0,0
36094,2454,2,0,1,0,2,0,0
76725,967,2,1,0,0,1,0,0
51853,2429,2,0,2,0,1,0,1
78647,4031,7,0,0,0,1,0,0
50160,3337,2,2,5,0,3,0,0
50160,4452,2,2,1,0,1,0,0
79948,4411,2,0,5,0,1,0,0
20978,3517,4,0,16,0,2,0,0
10360,499,4,0,4,0,1,0,0
98434,1046,2,0,1,0,1,0,0
46262,4720,3,0,2,0,1,0,0
76737,3356,3,0,3,0,1,0,0
55828,939,7,1,4,0,1,0,0
55828,4969,7,1,2,0,1,0,0
86706,4004,3,0,6,0,1,0,0
22106,2241,1,0,6,0,1,0,0
54383,441,7,0,3,0,1,0,0
90961,4140,2,0,3,0,1,0,1
8539,44,4,0,0,0,1,0,0
27650,833,5,0,0,0,1,0,0
88108,4335,4,1,2,0,1,0,0
31933,4688,4,0,0,0,1,1,0
71046,3879,7,0,6,0,1,0,0
71046,2207,7,0,9,0,1,0,0
13403,1665,2,1,0,0,1,0,0
13403,4783,2,1,2,0,1,0,0
76540,833,2,0,0,0,1,0,0
53488,4051,4,0,0,0,1,0,0
44437,2667,7,0,14,0,3,0,0
44437,2182,7,0,3,0,1,0,1
62757,2837,3,0,25,0,1,0,0
18947,3966,2,1,1,0,1,0,0
24214,3854,4,1,6,0,1,0,0
97828,604,4,0,10,0,1,0,0
27432,1897,3,1,0,0,2,0,0
50647,4537,3,0,1,0,1,0,0
72051,595,3,0,2,0,1,0,0
